"";"Urls";"Name_file";"Destinations"
"30";"https://www.intercambioidiomasonline.com/wp-content/uploads/2020/06/c1-multiple-choice_-ablaut-reduplication.pdf";"c1-multiple-choice_-ablaut-reduplication.pdf";"./multiple_choice/c1-multiple-choice_-ablaut-reduplication.pdf"
"31";"https://www.intercambioidiomasonline.com/wp-content/uploads/2020/05/c1-multiple-choice_-business.pdf";"c1-multiple-choice_-business.pdf";"./multiple_choice/c1-multiple-choice_-business.pdf"
"32";"https://www.intercambioidiomasonline.com/wp-content/uploads/2020/05/c1-multiple-choice_-celebrity-lifestyles.pdf";"c1-multiple-choice_-celebrity-lifestyles.pdf";"./multiple_choice/c1-multiple-choice_-celebrity-lifestyles.pdf"
"33";"https://www.intercambioidiomasonline.com/wp-content/uploads/2020/05/c1-multiple-choice_-childhood-obesity.pdf";"c1-multiple-choice_-childhood-obesity.pdf";"./multiple_choice/c1-multiple-choice_-childhood-obesity.pdf"
"34";"https://www.intercambioidiomasonline.com/wp-content/uploads/2020/05/c1-multiple-choice_-divorce.pdf";"c1-multiple-choice_-divorce.pdf";"./multiple_choice/c1-multiple-choice_-divorce.pdf"
"35";"https://www.intercambioidiomasonline.com/wp-content/uploads/2020/05/c1-multiple-choice_-extreme-weather.pdf";"c1-multiple-choice_-extreme-weather.pdf";"./multiple_choice/c1-multiple-choice_-extreme-weather.pdf"
"36";"https://www.intercambioidiomasonline.com/wp-content/uploads/2020/05/c1-multiple-choice_-language-exchanges.pdf";"c1-multiple-choice_-language-exchanges.pdf";"./multiple_choice/c1-multiple-choice_-language-exchanges.pdf"
"37";"https://www.intercambioidiomasonline.com/wp-content/uploads/2020/05/c1-multiple-choice_-mindfulness.pdf";"c1-multiple-choice_-mindfulness.pdf";"./multiple_choice/c1-multiple-choice_-mindfulness.pdf"
"38";"https://www.intercambioidiomasonline.com/wp-content/uploads/2020/05/c1-multiple-choice_-motivation.pdf";"c1-multiple-choice_-motivation.pdf";"./multiple_choice/c1-multiple-choice_-motivation.pdf"
"39";"https://www.intercambioidiomasonline.com/wp-content/uploads/2020/05/c1-multiple-choice_-ometepe-island.pdf";"c1-multiple-choice_-ometepe-island.pdf";"./multiple_choice/c1-multiple-choice_-ometepe-island.pdf"
"40";"https://www.intercambioidiomasonline.com/wp-content/uploads/2020/05/c1-multiple-choice_-social-media.pdf";"c1-multiple-choice_-social-media.pdf";"./multiple_choice/c1-multiple-choice_-social-media.pdf"
"41";"https://www.intercambioidiomasonline.com/wp-content/uploads/2020/05/c1-multiple-choice_-teaching-online.pdf";"c1-multiple-choice_-teaching-online.pdf";"./multiple_choice/c1-multiple-choice_-teaching-online.pdf"
"42";"https://www.intercambioidiomasonline.com/wp-content/uploads/2020/05/c1-multiple-choice_-the-birth-of-an-app.pdf";"c1-multiple-choice_-the-birth-of-an-app.pdf";"./multiple_choice/c1-multiple-choice_-the-birth-of-an-app.pdf"
"43";"https://www.intercambioidiomasonline.com/wp-content/uploads/2020/05/c1-multiple-choice_-the-panama-papers.pdf";"c1-multiple-choice_-the-panama-papers.pdf";"./multiple_choice/c1-multiple-choice_-the-panama-papers.pdf"
"44";"https://www.intercambioidiomasonline.com/wp-content/uploads/2020/05/c1-multiple-choice_-why-do-a-work-placement_.pdf";"c1-multiple-choice_-why-do-a-work-placement_.pdf";"./multiple_choice/c1-multiple-choice_-why-do-a-work-placement_.pdf"
"45";"https://www.intercambioidiomasonline.com/wp-content/uploads/2020/05/c1-multiple-choice_-workouts.pdf";"c1-multiple-choice_-workouts.pdf";"./multiple_choice/c1-multiple-choice_-workouts.pdf"
